fx,fy,mx,my
443.3441558441558,129.16233766233756,449.57792207792204,122.92857142857133
240.1233766233766,130.40909090909088,506.92857142857144,329.8896103896103
193.99350649350652,337.3701298701298,250.0974025974026,134.1493506493506
501.9415584415584,336.12337662337654,190.25324675324674,321.1623376623376
526.8766233766233,250.09740259740255,541.8376623376623,176.53896103896096
